用例编号	用例名称	前置条件	测试数据	测试步骤	预期结果	实际结果	优先级	版本号
TC_001	投保人姓名：合法中文姓名（2-20字符）	打开投保人信息页面	姓名=张三	1. 在姓名输入框输入“张三”<br>2. 点击其他字段或提交	姓名输入成功，无错误提示	待填写	高	V1.0
TC_002	投保人姓名：合法中文姓名含生僻字	打开投保人信息页面	姓名=张𪚥	1. 输入含生僻字的姓名<br>2. 失焦	姓名正常显示，无报错	待填写	中	V1.0
TC_003	投保人姓名：合法英文姓名（含空格）	打开投保人信息页面	姓名=John Doe	1. 输入英文姓名<br>2. 失焦	姓名正常显示，无报错	待填写	中	V1.0
TC_004	投保人姓名：合法姓名含间隔号	打开投保人信息页面	姓名=李·约翰	1. 输入含“·”的姓名<br>2. 失焦	姓名正常显示，无报错	待填写	中	V1.0
TC_005	投保人姓名：为空	打开投保人信息页面	姓名=空	1. 不输入姓名<br>2. 点击提交	提示“请输入本人姓名”	待填写	高	V1.0
TC_006	投保人姓名：仅空格	打开投保人信息页面	姓名=两个空格	1. 输入空格<br>2. 提交	提示“请输入本人姓名”	待填写	中	V1.0
TC_007	投保人姓名：长度小于2字符	打开投保人信息页面	姓名=李	1. 输入“李”<br>2. 提交	提示“姓名至少2个字符”	待填写	中	V1.0
TC_008	投保人姓名：长度大于20字符	打开投保人信息页面	姓名为21个中文字符	1. 输入21个中文字符<br>2. 提交	提示“姓名不能超过20个字符”或禁止输入	待填写	中	V1.0
TC_009	投保人姓名：含数字	打开投保人信息页面	姓名=张3	1. 输入“张3”<br>2. 提交	提示“姓名不能包含数字”	待填写	中	V1.0
TC_010	投保人姓名：含特殊符号（如@#）	打开投保人信息页面	姓名=张@三	1. 输入“张@三”<br>2. 提交	提示“姓名只能包含中文、英文、空格、间隔号”	待填写	中	V1.0
TC_011	中国境内字段：选择“是”	打开投保人信息页面	中国境内=是	1. 点击“是”<br>2. 提交	证件类型默认为身份证	待填写	高	V1.0
TC_012	中国境内字段：选择“否”	打开投保人信息页面	中国境内=否	1. 点击“否”<br>2. 提交	证件类型变更为护照/港澳台通行证等（根据业务）	待填写	高	V1.0
TC_013	身份证号：合法18位	打开投保人信息页面，中国境内=是	身份证号=11010119900307663X	1. 输入合法身份证号<br>2. 失焦	无错误提示，格式正确	待填写	高	V1.0
TC_014	身份证号：合法15位（历史）	打开投保人信息页面	身份证号=110101900307663	1. 输入15位身份证<br>2. 失焦	无错误提示或提示升级为18位	待填写	低	V1.0
TC_015	身份证号：为空	打开投保人信息页面	身份证号=空	1. 不输入证件号<br>2. 提交	提示“请输入证件号码”	待填写	高	V1.0
TC_016	身份证号：位数不足17位	打开投保人信息页面	身份证号=1101011990030766	1. 输入17位数字<br>2. 提交	提示“身份证号应为18位”	待填写	中	V1.0
TC_017	身份证号：位数超过18位	打开投保人信息页面	身份证号=110101199003076633X	1. 输入19位<br>2. 提交	提示“身份证号不能超过18位”	待填写	中	V1.0
TC_018	身份证号：含非法字符	打开投保人信息页面	身份证号=11010119900307663A	1. 输入含字母（非最后一位X）<br>2. 提交	提示“身份证号格式不正确”	待填写	中	V1.0
